ID,Place (x),Knowledge (y),Action (z),K5Name
3251,-0.349,0.771,0.081,Ecoscience
3255,-0.318,0.298,0.153,Ecoscience
3286,-0.313,0.255,-0.011,Ecoscience
3297,-0.386,0.458,-0.063,Ecoscience
3307,-0.596,0.04,0.008,Ecoscience
3315,-0.574,0.306,0.144,Ecoscience
3363,-0.021,0.548,-0.207,Ecoscience
3373,-0.324,0.223,0.179,Ecoscience
3388,-0.287,0.296,0.27,Ecoscience
3401,-0.114,0.164,-0.053,Ecoscience
3414,-0.338,0.25,-0.036,Ecoscience
3439,-0.617,0.708,0.182,Ecoscience
3444,-0.122,0.369,-0.14,Ecoscience
3457,-0.353,0.197,-0.168,Ecoscience
3458,0.076,0.23,-0.093,Ecoscience
3467,-0.319,0.126,0.011,Ecoscience
3476,-0.396,0.435,0.246,Ecoscience
3500,-0.22,0.302,-0.257,Ecoscience
3537,-0.283,0.291,-0.244,Ecoscience
3539,-0.543,0.229,-0.021,Ecoscience
3540,-0.141,0.299,0.003,Ecoscience
3546,-0.366,0.32,0.273,Ecoscience
3550,0.024,0.351,-0.161,Ecoscience
3558,-0.273,0.274,0.265,Ecoscience
3569,-0.236,0.068,-0.041,Ecoscience
3578,-0.385,0.496,-0.451,Ecoscience
3583,-0.44,0.733,0.114,Ecoscience
3594,-0.328,0.117,0.074,Ecoscience
3596,-0.703,0.094,-0.072,Ecoscience
3625,-0.255,0.151,-0.133,Ecoscience
3645,-0.093,0.481,-0.382,Ecoscience
3647,-0.93,0.31,-0.154,Ecoscience
3658,-0.483,0.225,0.204,Ecoscience
3662,-0.237,0.277,-0.065,Ecoscience
3663,-0.66,0.583,0.438,Ecoscience
3674,-0.239,0.376,-0.012,Ecoscience
3690,-0.391,0.266,0.132,Ecoscience
3708,-0.321,0.305,0.17,Ecoscience
3724,-0.279,0.263,0.153,Ecoscience
3735,-0.604,0.255,0.043,Ecoscience
3766,-0.343,0.307,-0.048,Ecoscience
3770,-0.447,0.137,-0.123,Ecoscience
3845,-0.096,0.127,0.048,Ecoscience
3921,-0.202,0.266,0.182,Ecoscience
3977,-0.494,0.468,0.431,Ecoscience
3986,-0.593,0.229,-0.002,Ecoscience
4025,-0.232,0.484,-0.229,Ecoscience
4062,-0.335,0.22,-0.055,Ecoscience
4069,-0.403,0.208,-0.119,Ecoscience
4178,-0.71,0.424,0.308,Ecoscience
4187,-0.097,0.193,-0.042,Ecoscience
4219,-0.73,0.371,0.182,Ecoscience
4228,-0.802,0.539,-0.071,Ecoscience
4231,-0.31,0.274,0.038,Ecoscience
4250,-0.31,0.254,0.191,Ecoscience
4291,0.063,0.216,-0.144,Ecoscience
4296,-0.033,0.054,0.006,Ecoscience
4369,-0.181,0.704,-0.104,Ecoscience
4381,-0.471,0.516,0.181,Ecoscience
4387,-0.391,0.348,0.098,Ecoscience
4421,-0.31,0.19,-0.002,Ecoscience
4436,-0.376,0.183,-0.03,Ecoscience
4448,0.057,0.295,-0.129,Ecoscience
4456,-0.289,0.205,0.013,Ecoscience
4466,-0.202,0.203,0.199,Ecoscience
4476,-0.006,0.11,-0.083,Ecoscience
4485,-0.456,0.285,0.053,Ecoscience
4488,-0.104,0.054,-0.028,Ecoscience
4491,0.014,0.181,-0.099,Ecoscience
4603,-0.511,0.119,0.073,Ecoscience
4606,-0.116,0.266,-0.046,Ecoscience
4617,-0.585,0.083,0.07,Ecoscience
4620,-0.244,0.189,0.002,Ecoscience
4666,-0.243,0.583,0.059,Ecoscience
4683,-0.172,0.127,-0.009,Ecoscience
4696,0.033,0.358,-0.265,Ecoscience
4700,-0.369,0.134,0.124,Ecoscience
4728,0.103,0.425,-0.181,Ecoscience
4730,-0.188,0.242,-0.103,Ecoscience
4746,-0.507,0.087,0.01,Ecoscience
4776,-0.181,0.22,0.124,Ecoscience
4801,-0.284,0.365,0.209,Ecoscience
4803,-0.247,0.202,-0.14,Ecoscience
4805,-0.032,0.052,-0.034,Ecoscience
4807,-0.019,0.103,-0.006,Ecoscience
4812,-0.016,0.281,-0.251,Ecoscience
4827,-0.282,0.374,0.156,Ecoscience
4867,-0.098,0.173,0.07,Ecoscience
4868,-0.14,0.106,-0.083,Ecoscience
4873,-0.206,0.481,0.162,Ecoscience
4878,-0.189,0.267,-0.237,Ecoscience
4923,-0.064,0.281,-0.051,Ecoscience
4941,0.06,0.316,-0.173,Ecoscience
4943,-0.231,0.318,0.092,Ecoscience
4946,-0.108,0.15,0.067,Ecoscience
4947,-0.13,0.401,-0.053,Ecoscience
4948,0.049,0.176,-0.104,Ecoscience
4958,-0.173,0.053,-0.002,Ecoscience
4962,-0.138,0.39,-0.254,Ecoscience
4968,-0.261,0.166,-0.022,Ecoscience
4977,-0.09,0.049,0.032,Ecoscience
4997,-0.35,0.204,0.186,Ecoscience
5007,-0.172,0.137,-0.025,Ecoscience
5014,-0.177,0.214,-0.14,Ecoscience
5019,-0.307,0.08,0.01,Ecoscience
5042,-0.24,0.051,0.048,Ecoscience
5045,-0.311,0.173,-0.12,Ecoscience
