ID,Place (x),Knowledge (y),Action (z),K5Name
3208,-0.1,-0.271,0.73,Earth Justice
3209,-0.531,-0.142,0.206,Earth Justice
3220,-0.121,0.07,0.166,Earth Justice
3223,-0.834,-0.001,0.325,Earth Justice
3224,-0.43,-0.529,0.648,Earth Justice
3230,-0.714,0.035,0.434,Earth Justice
3244,-0.166,0.012,0.535,Earth Justice
3250,-0.527,-0.049,0.209,Earth Justice
3258,-0.515,0.169,0.175,Earth Justice
3281,-0.394,-0.156,0.165,Earth Justice
3284,-0.72,-0.122,0.169,Earth Justice
3285,-0.244,0.055,0.527,Earth Justice
3292,0.072,-0.146,0.305,Earth Justice
3294,-0.482,0.325,0.641,Earth Justice
3296,-0.35,-0.238,0.326,Earth Justice
3298,-0.433,-0.042,0.387,Earth Justice
3302,-0.184,0.028,0.511,Earth Justice
3304,-0.488,0.031,0.388,Earth Justice
3313,-0.106,-0.005,0.47,Earth Justice
3314,0.069,-0.118,0.413,Earth Justice
3325,-0.215,0.141,0.562,Earth Justice
3327,-0.431,-0.042,0.492,Earth Justice
3330,-0.226,0.053,0.618,Earth Justice
3334,-0.75,-0.177,0.526,Earth Justice
3340,-0.218,0.029,0.264,Earth Justice
3343,-0.14,0.053,0.082,Earth Justice
3348,-0.293,-0.245,0.307,Earth Justice
3350,-0.241,-0.098,0.18,Earth Justice
3351,-0.262,-0.082,0.358,Earth Justice
3352,-0.441,-0.153,0.718,Earth Justice
3361,-0.228,-0.274,0.58,Earth Justice
3364,-0.257,-0.148,0.452,Earth Justice
3367,-0.152,-0.24,0.308,Earth Justice
3383,-0.063,-0.022,0.108,Earth Justice
3384,-0.285,-0.007,0.358,Earth Justice
3400,-0.178,0.136,0.15,Earth Justice
3407,-0.613,-0.253,0.439,Earth Justice
3408,-0.405,-0.048,0.17,Earth Justice
3411,-0.185,0.063,0.147,Earth Justice
3412,-0.129,-0.145,0.206,Earth Justice
3416,-0.621,-0.618,0.675,Earth Justice
3430,-0.063,-0.109,0.44,Earth Justice
3438,-0.335,0.026,0.338,Earth Justice
3445,-0.278,-0.157,0.238,Earth Justice
3449,-0.19,-0.23,0.359,Earth Justice
3451,-0.282,-0.063,0.126,Earth Justice
3459,-0.485,-0.076,0.145,Earth Justice
3462,-0.109,-0.017,0.161,Earth Justice
3463,-0.154,-0.011,0.527,Earth Justice
3465,-0.391,0.131,0.353,Earth Justice
3471,-0.382,-0.068,0.395,Earth Justice
3472,-0.297,0.295,0.384,Earth Justice
3478,-0.582,-0.014,0.474,Earth Justice
3485,-0.02,-0.029,0.076,Earth Justice
3499,-0.44,0.006,0.682,Earth Justice
3502,-0.391,-0.013,0.641,Earth Justice
3505,-0.166,-0.122,0.337,Earth Justice
3506,-0.267,0.05,0.375,Earth Justice
3511,-0.298,0.264,0.431,Earth Justice
3517,-0.303,0.047,0.722,Earth Justice
3520,-0.088,-0.145,0.149,Earth Justice
3521,-0.142,-0.297,0.499,Earth Justice
3522,-0.274,-0.038,0.04,Earth Justice
3529,-0.443,-0.462,0.776,Earth Justice
3538,-0.45,0.264,0.288,Earth Justice
3543,-0.607,0.007,0.688,Earth Justice
3547,-0.585,0.236,0.246,Earth Justice
3548,-0.408,-0.037,0.323,Earth Justice
3552,-0.577,0.001,0.392,Earth Justice
3556,-0.007,-0.291,0.357,Earth Justice
3557,-0.655,0.044,0.476,Earth Justice
3560,-0.527,-0.344,0.577,Earth Justice
3561,-0.393,-0.227,0.306,Earth Justice
3562,-0.302,-0.283,0.287,Earth Justice
3564,-0.186,-0.32,0.591,Earth Justice
3566,-0.344,0.109,0.111,Earth Justice
3568,-0.6,-0.296,0.332,Earth Justice
3572,-0.215,-0.153,0.517,Earth Justice
3573,0.039,-0.396,0.435,Earth Justice
3574,-0.264,-0.074,0.756,Earth Justice
3579,-0.457,0.237,0.827,Earth Justice
3581,-0.545,-0.026,0.557,Earth Justice
3587,-0.308,0.198,0.375,Earth Justice
3588,-0.438,0.024,0.444,Earth Justice
3595,-0.414,0.215,0.234,Earth Justice
3597,0.03,-0.071,0.454,Earth Justice
3599,-0.37,0.141,0.345,Earth Justice
3601,-0.375,0.012,0.19,Earth Justice
3602,-0.558,-0.321,0.417,Earth Justice
3603,-0.179,0.15,0.234,Earth Justice
3607,-0.103,-0.001,0.17,Earth Justice
3608,-0.403,-0.085,0.562,Earth Justice
3610,-0.449,-0.164,0.201,Earth Justice
3613,-0.513,0.139,0.743,Earth Justice
3620,-0.406,-0.055,0.415,Earth Justice
3624,-0.519,0.106,0.459,Earth Justice
3632,-0.412,0.145,0.169,Earth Justice
3634,-0.227,-0.001,0.547,Earth Justice
